Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variable,BR-324109,Gold Classic Diamond Tennis Bracelet,Timeless line bracelet featuring round brilliant diamonds in a secure 4-prong setting.,Bracelets,Poids diamant,"2 ct,3 ct,4 ct,5 ct,6 ct,7 ct,8 ct,9 ct,10 ct",1,1,Type d'or,"10K,14K",1,1,,
variation,BR-324109-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,BR-324109,1799
variation,BR-324109-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,BR-324109,1999
variation,BR-324109-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,BR-324109,2199
variation,BR-324109-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,BR-324109,2449
variation,BR-324109-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,BR-324109,2499
variation,BR-324109-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,BR-324109,2779
variation,BR-324109-5ct-10K,,,,Poids diamant,5 ct,,,Type d'or,10K,,,BR-324109,2999
variation,BR-324109-5ct-14K,,,,Poids diamant,5 ct,,,Type d'or,14K,,,BR-324109,3349
variation,BR-324109-6ct-10K,,,,Poids diamant,6 ct,,,Type d'or,10K,,,BR-324109,3599
variation,BR-324109-6ct-14K,,,,Poids diamant,6 ct,,,Type d'or,14K,,,BR-324109,3999
variation,BR-324109-7ct-10K,,,,Poids diamant,7 ct,,,Type d'or,10K,,,BR-324109,3799
variation,BR-324109-7ct-14K,,,,Poids diamant,7 ct,,,Type d'or,14K,,,BR-324109,4249
variation,BR-324109-8ct-10K,,,,Poids diamant,8 ct,,,Type d'or,10K,,,BR-324109,3999
variation,BR-324109-8ct-14K,,,,Poids diamant,8 ct,,,Type d'or,14K,,,BR-324109,4499
variation,BR-324109-9ct-10K,,,,Poids diamant,9 ct,,,Type d'or,10K,,,BR-324109,4399
variation,BR-324109-9ct-14K,,,,Poids diamant,9 ct,,,Type d'or,14K,,,BR-324109,4949
variation,BR-324109-10ct-10K,,,,Poids diamant,10 ct,,,Type d'or,10K,,,BR-324109,4799
variation,BR-324109-10ct-14K,,,,Poids diamant,10 ct,,,Type d'or,14K,,,BR-324109,5399
variable,BR-405993,Gold Round Diamond Tennis Bracelet (Prong Set),Essential luxury piece with a continuous line of matched round diamonds.,Bracelets,Poids diamant,"2 ct,3 ct,4 ct,5 ct,6 ct,7 ct,8 ct,9 ct,10 ct",1,1,Type d'or,"10K,14K",1,1,,
variation,BR-405993-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,BR-405993,1899
variation,BR-405993-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,BR-405993,2099
variation,BR-405993-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,BR-405993,2299
variation,BR-405993-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,BR-405993,2549
variation,BR-405993-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,BR-405993,2599
variation,BR-405993-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,BR-405993,2899
variation,BR-405993-5ct-10K,,,,Poids diamant,5 ct,,,Type d'or,10K,,,BR-405993,3299
variation,BR-405993-5ct-14K,,,,Poids diamant,5 ct,,,Type d'or,14K,,,BR-405993,3649
variation,BR-405993-6ct-10K,,,,Poids diamant,6 ct,,,Type d'or,10K,,,BR-405993,3699
variation,BR-405993-6ct-14K,,,,Poids diamant,6 ct,,,Type d'or,14K,,,BR-405993,4099
variation,BR-405993-7ct-10K,,,,Poids diamant,7 ct,,,Type d'or,10K,,,BR-405993,3899
variation,BR-405993-7ct-14K,,,,Poids diamant,7 ct,,,Type d'or,14K,,,BR-405993,4349
variation,BR-405993-8ct-10K,,,,Poids diamant,8 ct,,,Type d'or,10K,,,BR-405993,4299
variation,BR-405993-8ct-14K,,,,Poids diamant,8 ct,,,Type d'or,14K,,,BR-405993,4799
variation,BR-405993-9ct-10K,,,,Poids diamant,9 ct,,,Type d'or,10K,,,BR-405993,4499
variation,BR-405993-9ct-14K,,,,Poids diamant,9 ct,,,Type d'or,14K,,,BR-405993,5049
variation,BR-405993-10ct-10K,,,,Poids diamant,10 ct,,,Type d'or,10K,,,BR-405993,4999
variation,BR-405993-10ct-14K,,,,Poids diamant,10 ct,,,Type d'or,14K,,,BR-405993,5599
variable,BR-439742,Gold Black Diamond Tennis Bracelet,Bold and sophisticated line bracelet featuring round black diamonds in a gold setting.,Bracelets,Poids diamant,"2 ct,3 ct,4 ct,5 ct,6 ct,7 ct,8 ct,9 ct,10 ct",1,1,Type d'or,"10K,14K",1,1,,
variation,BR-439742-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,BR-439742,1799
variation,BR-439742-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,BR-439742,1999
variation,BR-439742-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,BR-439742,2399
variation,BR-439742-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,BR-439742,2649
variation,BR-439742-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,BR-439742,2699
variation,BR-439742-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,BR-439742,2999
variation,BR-439742-5ct-10K,,,,Poids diamant,5 ct,,,Type d'or,10K,,,BR-439742,3399
variation,BR-439742-5ct-14K,,,,Poids diamant,5 ct,,,Type d'or,14K,,,BR-439742,3749
variation,BR-439742-6ct-10K,,,,Poids diamant,6 ct,,,Type d'or,10K,,,BR-439742,3799
variation,BR-439742-6ct-14K,,,,Poids diamant,6 ct,,,Type d'or,14K,,,BR-439742,4199
variation,BR-439742-7ct-10K,,,,Poids diamant,7 ct,,,Type d'or,10K,,,BR-439742,4199
variation,BR-439742-7ct-14K,,,,Poids diamant,7 ct,,,Type d'or,14K,,,BR-439742,4649
variation,BR-439742-8ct-10K,,,,Poids diamant,8 ct,,,Type d'or,10K,,,BR-439742,4499
variation,BR-439742-8ct-14K,,,,Poids diamant,8 ct,,,Type d'or,14K,,,BR-439742,4999
variation,BR-439742-9ct-10K,,,,Poids diamant,9 ct,,,Type d'or,10K,,,BR-439742,4699
variation,BR-439742-9ct-14K,,,,Poids diamant,9 ct,,,Type d'or,14K,,,BR-439742,5249
variation,BR-439742-10ct-10K,,,,Poids diamant,10 ct,,,Type d'or,10K,,,BR-439742,5199
variation,BR-439742-10ct-14K,,,,Poids diamant,10 ct,,,Type d'or,14K,,,BR-439742,5799
variable,BR-458774,Gold Bezel Set Diamond Bangle Bracelet,Modern hinged bangle featuring bezel-set round diamonds in a segmented design.,Bracelets,Poids diamant,"2 ct,3 ct,4 ct,5 ct,6 ct,7 ct,8 ct,9 ct,10 ct",1,1,Type d'or,"10K,14K",1,1,,
