Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variable,P-123923,White Gold Radiant Cut Diamond Halo Pendant,Stunning elongated radiant cut diamond surrounded by a glittering halo. Diamond set bail.,Pendentifs,Type d'or,10K,1,1,,,,,,
variation,P-123923-10K,,,,Type d'or,10K,,,,,,,P-123923,1699
variable,P-180588,White Gold Princess Cut Diamond Cross Pendant,Classic religious symbol reimagined with seamless channel-set princess cut diamonds.,Pendentifs,Type d'or,10K,1,1,,,,,,
variation,P-180588-10K,,,,Type d'or,10K,,,,,,,P-180588,2399
variable,P-747940,White Gold Emerald Cut Diamond Solitaire Pendant,Minimalist luxury featuring a single emerald cut diamond in a sleek basket setting.,Pendentifs,Type d'or,10K,1,1,,,,,,
variation,P-747940-10K,,,,Type d'or,10K,,,,,,,P-747940,1299
variable,P-930785,Graduated 5-Stone Diamond Curve Pendant Necklace White Gold,Elegant curved bar necklace featuring 5 round brilliant diamonds in graduated sizes. White Gold shared prong setting.,Pendentifs,Type d'or,10K,1,1,,,,,,
variation,P-930785-10K,,,,Type d'or,10K,,,,,,,P-930785,2119
variable,P-952829,5-Stone Graduated Diamond Curved Bar Necklace,Elegant smile necklace featuring 5 round brilliant diamonds in a shared prong white gold setting.,Pendentifs,Type d'or,10K,1,1,,,,,,
variation,P-952829-10K,,,,Type d'or,10K,,,,,,,P-952829,1999
