Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variable,R-100768,Vintage Style Marquise Diamond Ring with Black Accents ,Ornate gold ring featuring a marquise diamond center and contrasting black diamond accents.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-100768-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-100768,1499
variation,R-100768-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-100768,1831
variation,R-100768-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-100768,2219
variation,R-100768-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-100768,2549
variation,R-100768-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-100768,2864
variation,R-100768-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-100768,3399
variation,R-100768-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-100768,3849
variation,R-100768-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-100768,1914
variation,R-100768-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-100768,2246
variation,R-100768-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-100768,2634
variation,R-100768-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-100768,2964
variation,R-100768-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-100768,3279
variation,R-100768-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-100768,3814
variation,R-100768-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-100768,4264
variation,R-100768-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-100768,2449
variation,R-100768-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-100768,2781
variation,R-100768-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-100768,3169
variation,R-100768-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-100768,3499
variation,R-100768-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-100768,3814
variation,R-100768-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-100768,4349
variation,R-100768-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-100768,4799
variable,R-113952,Fancy Pink Emerald Cut Diamond Engagement Ring,Rare fancy pink emerald cut diamond flanked by side stones in a luxurious pave setting.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-113952-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-113952,2799
variation,R-113952-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-113952,3131
variation,R-113952-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-113952,3519
variation,R-113952-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-113952,3849
variation,R-113952-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-113952,4164
variation,R-113952-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-113952,4699
variation,R-113952-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-113952,5149
variation,R-113952-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-113952,3214
variation,R-113952-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-113952,3546
variation,R-113952-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-113952,3934
variation,R-113952-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-113952,4264
variation,R-113952-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-113952,4579
variation,R-113952-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-113952,5114
variation,R-113952-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-113952,5564
variation,R-113952-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-113952,3749
variation,R-113952-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-113952,4081
variation,R-113952-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-113952,4469
variation,R-113952-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-113952,4799
variation,R-113952-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-113952,5114
variation,R-113952-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-113952,5649
variation,R-113952-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-113952,6099
variable,R-124711,Fancy Pink Oval Diamond Engagement Ring (Vine Band),Exquisite pink oval diamond set on a delicate diamond-accented vine style band.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-124711-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-124711,1499
variation,R-124711-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-124711,1831
variation,R-124711-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-124711,2219
variation,R-124711-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-124711,2549
variation,R-124711-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-124711,2864
variation,R-124711-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-124711,3399
variation,R-124711-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-124711,3849
variation,R-124711-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-124711,1914
variation,R-124711-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-124711,2246
variation,R-124711-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-124711,2634
variation,R-124711-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-124711,2964
variation,R-124711-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-124711,3279
variation,R-124711-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-124711,3814
variation,R-124711-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-124711,4264
variation,R-124711-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-124711,2449
variation,R-124711-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-124711,2781
variation,R-124711-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-124711,3169
variation,R-124711-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-124711,3499
variation,R-124711-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-124711,3814
variation,R-124711-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-124711,4349
variation,R-124711-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-124711,4799
variable,R-129963,5-Stone Emerald Cut Diamond Anniversary Ring,Statement ring featuring five brilliant emerald cut diamonds in a graduated design.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-129963-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-129963,1599
variation,R-129963-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-129963,1931
variation,R-129963-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-129963,2319
variation,R-129963-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-129963,2649
variation,R-129963-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-129963,2964
variation,R-129963-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-129963,3499
variation,R-129963-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-129963,3949
variation,R-129963-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-129963,2014
variation,R-129963-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-129963,2346
variation,R-129963-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-129963,2734
variation,R-129963-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-129963,3064
variation,R-129963-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-129963,3379
variation,R-129963-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-129963,3914
variation,R-129963-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-129963,4364
variation,R-129963-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-129963,2549
variation,R-129963-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-129963,2881
variation,R-129963-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-129963,3269
variation,R-129963-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-129963,3599
variation,R-129963-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-129963,3914
variation,R-129963-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-129963,4449
variation,R-129963-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-129963,4899
variable,R-135142,Pear Shaped Diamond Engagement Ring (Pave Band),Classic pear shaped solitaire enhanced by a shimmering micropave diamond band.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-135142-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-135142,1499
variation,R-135142-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-135142,1831
variation,R-135142-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-135142,2219
variation,R-135142-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-135142,2549
variation,R-135142-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-135142,2864
variation,R-135142-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-135142,3399
variation,R-135142-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-135142,3849
variation,R-135142-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-135142,1914
variation,R-135142-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-135142,2246
variation,R-135142-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-135142,2634
variation,R-135142-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-135142,2964
variation,R-135142-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-135142,3279
variation,R-135142-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-135142,3814
variation,R-135142-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-135142,4264
variation,R-135142-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-135142,2449
variation,R-135142-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-135142,2781
variation,R-135142-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-135142,3169
variation,R-135142-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-135142,3499
variation,R-135142-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-135142,3814
variation,R-135142-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-135142,4349
variation,R-135142-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-135142,4799
variable,R-137366, Oval Diamond Solitaire Ring,Timeless elegance featuring a brilliant oval cut diamond set in yellow gold.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-137366-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-137366,1899
variation,R-137366-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-137366,2231
variation,R-137366-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-137366,2619
variation,R-137366-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-137366,2949
variation,R-137366-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-137366,3264
variation,R-137366-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-137366,3799
variation,R-137366-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-137366,4249
variation,R-137366-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-137366,2314
variation,R-137366-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-137366,2646
variation,R-137366-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-137366,3034
variation,R-137366-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-137366,3364
variation,R-137366-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-137366,3679
variation,R-137366-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-137366,4214
variation,R-137366-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-137366,4664
variation,R-137366-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-137366,2849
variation,R-137366-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-137366,3181
variation,R-137366-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-137366,3569
variation,R-137366-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-137366,3899
variation,R-137366-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-137366,4214
variation,R-137366-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-137366,4749
